Customer ID,Name,Email,Age,Location
C0065,Name_65,22Q91A6665@mrce.in,23.0,Guntur
C0066,Name_66,22Q91A6666@mrce.in,17.0,Karimnagar
C0067,Name_67,22Q91A6667@mrce.in,,Medchal
C0068,Name_68,22Q91A6668@mrce.in,23.0,Secunderabad
C0069,Name_69,,17.0,Hyderabad
C0070,Name_70,22Q91A6670@mrce.in,23.0,Vijayawada
C0071,Name_71,22Q91A6671@mrce.in,18.0,Kerala
C0072,Name_72,22Q91A6672@mrce.in,22.0,Medchal
C0073,Name_73,,24.0,Nizamabad
C0074,Name_74,22Q91A6674@mrce.in,19.0,Vijayawada
C0075,Name_75,22Q91A6675@mrce.in,26.0,Medchal
C0076,Name_76,22Q91A6676@mrce.in,21.0,Visakhapatnam
C0077,Name_77,22Q91A6677@mrce.in,24.0,Karimnagar
C0078,Name_78,,26.0,Warangal
C0079,Name_79,22Q91A6679@mrce.in,26.0,Warangal
C0080,Name_80,22Q91A6680@mrce.in,20.0,Medchal
C0081,Name_81,22Q91A6681@mrce.in,27.0,Secunderabad
C0082,Name_82,22Q91A6682@mrce.in,16.0,Nizamabad
C0083,Name_83,22Q91A6683@mrce.in,18.0,Secunderabad
C0084,Name_84,,26.0,Vijayawada
C0085,Name_85,22Q91A6685@mrce.in,24.0,Guntur
C0086,Name_86,22Q91A6686@mrce.in,18.0,Karimnagar
C0087,Name_87,22Q91A6687@mrce.in,26.0,Karimnagar
C0088,Name_88,22Q91A6688@mrce.in,26.0,Warangal
C0089,Name_89,22Q91A6689@mrce.in,25.0,Karimnagar
C0090,Name_90,22Q91A6690@mrce.in,17.0,Secunderabad
C0091,Name_91,22Q91A6691@mrce.in,19.0,Nizamabad
C0092,Name_92,22Q91A6692@mrce.in,20.0,Nizamabad
C0093,Name_93,22Q91A6693@mrce.in,22.0,Warangal
C0094,Name_94,22Q91A6694@mrce.in,22.0,Medchal
C0095,Name_95,22Q91A6695@mrce.in,24.0,Nizamabad
C0096,Name_96,22Q91A6696@mrce.in,23.0,Secunderabad
C0097,Name_97,22Q91A6697@mrce.in,17.0,Hyderabad
C0098,Name_98,22Q91A6698@mrce.in,27.0,Medchal
C0099,Name_99,,23.0,Guntur
C0100,Name_100,22Q91A66100@mrce.in,23.0,Kerala
C0101,Name_101,,20.0,Visakhapatnam
C0102,Name_102,22Q91A66102@mrce.in,18.0,Karimnagar
C0103,Name_103,22Q91A66103@mrce.in,24.0,Karimnagar
C0104,Name_104,22Q91A66104@mrce.in,27.0,Hyderabad
C0105,Name_105,22Q91A66105@mrce.in,22.0,Medchal
C0106,Name_106,22Q91A66106@mrce.in,16.0,Warangal
C0107,Name_107,22Q91A66107@mrce.in,23.0,Secunderabad
C0108,Name_108,22Q91A66108@mrce.in,25.0,Hyderabad
C0109,Name_109,22Q91A66109@mrce.in,20.0,Visakhapatnam
C0110,Name_110,,21.0,Nizamabad
C0111,Name_111,22Q91A66111@mrce.in,24.0,Warangal
C0112,Name_112,22Q91A66112@mrce.in,25.0,Kerala
C0113,Name_113,22Q91A66113@mrce.in,23.0,Warangal
C0114,Name_114,22Q91A66114@mrce.in,26.0,Hyderabad
C0115,Name_115,22Q91A66115@mrce.in,18.0,Guntur
C0116,Name_116,22Q91A66116@mrce.in,20.0,Hyderabad
C0117,Name_117,22Q91A66117@mrce.in,19.0,Hyderabad
C0118,Name_118,22Q91A66118@mrce.in,16.0,Hyderabad
C0119,Name_119,22Q91A66119@mrce.in,20.0,Warangal
C0120,Name_120,22Q91A66120@mrce.in,25.0,Hyderabad
C0121,Name_121,22Q91A66121@mrce.in,22.0,Medchal
C0122,Name_122,22Q91A66122@mrce.in,16.0,Warangal
C0123,Name_123,22Q91A66123@mrce.in,,Nizamabad
C0124,Name_124,22Q91A66124@mrce.in,21.0,Medchal
C0125,Name_125,22Q91A66125@mrce.in,26.0,Visakhapatnam
C0126,Name_126,22Q91A66126@mrce.in,27.0,Nizamabad
C0127,Name_127,22Q91A66127@mrce.in,24.0,Kerala
C0128,Name_128,22Q91A66128@mrce.in,26.0,Karimnagar
C0129,Name_129,,23.0,Warangal
